学校,所在学院,URL
中山大学南方学院,文学与传媒学院,http：//wcy.nfu.edu.cn/a/xueyuangaikuang/zhuanyeshezhi/wangluoyuxinmeitix/
广州大学,新闻与传播学院,http://xw.gzhu.edu.cn/
东莞理工城市学院,文学与传媒学院,http://wcx.ccdgut.edu.cn/
内蒙古师范大学,新闻传播学院,https://www.imnu.edu.cn/
深圳大学,新闻与传播学院,http://cmc.szu.edu.cn/Home/Default/CbDefault.htm
浙江传媒学院,文化创意与管理学院,http://www.cuz.edu.cn/123
深圳大学,新闻与传播学院,http://cmc.szu.edu.cn/Home/Default/CbDefault.html
清华大学,新闻传播学院,http://www.tsjc.tsinghua.edu.cn/
河南工业大学,新闻与传播学院,https://xwxy.haut.edu.cn/info/1021/2250.htm
中国传媒大学,新闻学院,http://sj.cuc.edu.cn/
广西师范大学,新闻传媒学院,http://xwcbxy.gxtc.edu.cn/
北京交通大学,新闻传播学类,https://yyxy.bjtu.edu.cn/cms/
